1285.0,0.767081,0.115,0.216,94.0
1286.0,0.75138,0.094,0.187,75.0
1287.0,0.687305,0.082,0.181,61.0
1288.0,0.74769,0.078,0.187,62.0
1289.0,0.762329,0.085,0.208,69.0
1290.0,0.697392,0.082,0.194,62.0
1291.0,0.657827,0.07,0.165,50.0
1292.0,0.583791,0.071,0.154,46.0
1293.0,0.663577,0.064,0.164,46.0
1294.0,0.7269,0.052,0.155,40.0
1295.0,0.695105,0.042,0.141,31.0
1296.0,0.627162,0.047,0.144,32.0
1297.0,0.721362,0.038,0.15,29.0
1298.0,0.550069,0.043,0.173,27.0
1299.0,0.64307,0.041,0.18,29.0
1300.0,0.447025,0.044,0.178,24.0
1301.0,0.401616,0.037,0.187,19.0
1302.0,0.441505,0.042,0.19,23.0
1303.0,0.494949,0.045,0.208,27.0
1304.0,0.470359,0.033,0.199,19.0
1305.0,0.302109,0.032,0.194,14.0
1306.0,0.13577,0.029,0.202,9.0
1307.0,0.122068,0.036,0.209,11.0
1308.0,0.283154,0.036,0.225,16.0
1309.0,0.330656,0.04,0.253,20.0
1310.0,0.164846,0.043,0.276,17.0
1311.0,0.157694,0.037,0.262,14.0
1312.0,0.107143,0.032,0.265,11.0
1313.0,-0.439305,0.029,0.246,4.0
1314.0,-0.31945,0.031,0.237,5.0
1315.0,-0.151104,0.031,0.266,7.0
1316.0,-0.557032,0.035,0.258,4.0
1317.0,-0.325145,0.031,0.239,5.0
1318.0,-0.506173,0.03,0.27,4.0
1319.0,-0.121376,0.031,0.257,7.0
1320.0,0.119331,0.03,0.243,10.0
1321.0,0.119881,0.028,0.229,9.0
1322.0,0.194415,0.019,0.216,7.0
1323.0,0.22619,0.021,0.2,8.0
1324.0,0.182692,0.026,0.2,9.0
1325.0,0.228082,0.031,0.206,12.0
1326.0,0.227948,0.033,0.215,13.0
1327.0,0.202806,0.032,0.216,12.0
1328.0,0.118285,0.038,0.224,12.0
1329.0,0.122576,0.058,0.214,18.0
1330.0,0.0897421,0.055,0.221,16.0
1331.0,-0.407733,0.053,0.223,7.0
1332.0,-0.520285,0.064,0.228,7.0
1333.0,-0.422855,0.069,0.226,9.0
1334.0,-0.475983,0.075,0.229,9.0
1335.0,-0.327217,0.075,0.218,11.0
1336.0,-0.382525,0.079,0.205,10.0
1337.0,-0.423077,0.078,0.2,9.0
1338.0,-0.579327,0.08,0.208,7.0
1339.0,-0.680817,0.091,0.241,7.0
1340.0,-0.774164,0.09,0.246,5.0
1341.0,-0.769256,0.093,0.233,5.0
1342.0,-0.756573,0.104,0.237,6.0
1343.0,-0.744062,0.088,0.222,5.0
1344.0,-0.685614,0.071,0.224,5.0
1345.0,-0.657397,0.083,0.211,6.0
1346.0,-0.667774,0.086,0.21,6.0
1347.0,-0.822967,0.074,0.229,3.0
1348.0,-0.825093,0.067,0.256,3.0
1349.0,-0.940589,0.064,0.263,1.0
1350.0,-0.940138,0.065,0.257,1.0
1351.0,-1.0,0.07,0.242,0.0
1352.0,-1.0,0.089,0.273,0.0
1353.0,-1.0,0.09,0.28,0.0
1354.0,-1.0,0.083,0.28,0.0
1355.0,-1.0,0.098,0.275,0.0
1356.0,-1.0,0.102,0.286,0.0
1357.0,-1.0,0.097,0.302,0.0
1358.0,-1.0,0.084,0.294,0.0
1359.0,-0.953821,0.071,0.305,1.0
1360.0,-0.948602,0.064,0.304,1.0
1361.0,-0.95275,0.074,0.286,1.0
1362.0,-1.0,0.068,0.315,0.0
1363.0,-1.0,0.058,0.317,0.0
1364.0,-1.0,0.049,0.312,0.0
1365.0,-1.0,0.054,0.316,0.0
1366.0,-1.0,0.063,0.305,0.0
1367.0,-1.0,0.065,0.319,0.0
1368.0,-1.0,0.063,0.32,0.0
1369.0,-0.851117,0.062,0.325,3.0
1370.0,-1.0,0.06,0.322,0.0
